"fhudcode","fhudname","phic_name","regname","provcode","provname","citycode","cityname","facility_type_code","pan"
"DOH000000000018209","BAGTAYAN BARANGAY HEALTH STATION",,"CAR","1432","KALINGA","143208","PASIL","BHS",
"DOH000000000018424","POBLACION ILAWOD I BARANGAY HEALTH STATION",,"Region 6","0630","ILOILO","063035","CITY OF PASSI","BHS",
"DOH000000000018431","MAN-IT BARANGAY HEALTH STATION",,"Region 6","0630","ILOILO","063035","CITY OF PASSI","BHS",
"DOH000000000018440","SABLOGON BARANGAY HEALTH STATION",,"Region 6","0630","ILOILO","063035","CITY OF PASSI","BHS",
"DOH000000000018574","MAIN HEALTH CENTER",,"Region 6","0630","ILOILO","063031","MINA","BHS",
"DOH000000000018685","BARRIO OBRERO DISTRICT HEALTH CENTER (MAIN HEALTH CENTER)",,"Region 6","0630","ILOILO","063022","ILOILO CITY (Capital)","RHU","P06024765"
"DOH000000000018710","JARO II DISTRICT HEALTH CENTER (MAIN HEALTH CENTER)","JARO-II DISTRICT HEALTH CENTER","Region 6","0630","ILOILO","063022","ILOILO CITY (Capital)","BHS","P06024762"
"DOH000000000018936","KANLURAN BARANGAY HEALTH STATION",,"Region 4A","0421","CAVITE","042117","ROSARIO","BHS",
"DOH000000000019202","DOLORES RURAL HEALTH UNIT","DOLORES RURAL HEALTH UNIT","Region 4A","0456","QUEZON","045615","DOLORES","RHU","P41025961"
"DOH000000000019221","ABO-ABO BARANGAY HEALTH STATION",,"Region 4B","1753","PALAWAN","175324","SOFRONIO ESPAÃ‚ÂOLA","BHS",
"DOH000000000019390","LUSOD BARANGAY HEALTH STATION",,"Region 2","0257","QUIRINO","025704","MADDELA","BHS",
"DOH000000000019421","SAN ANTONIO BARANGAY HEALTH STATION",,"Region 5","0505","ALBAY","050517","CITY OF TABACO","BHS",
"DOH000000000019425","BUAZA BARANGAY HEALTH STATION TABIGUIAN",,"Region 5","0505","ALBAY","050517","CITY OF TABACO","BHS",
"DOH000000000019433","DARAGA MAIN HEALTH CENTER",,"Region 5","0505","ALBAY","050503","DARAGA (LOCSIN)","BHS",
"DOH000000000019572","CALAMAGUI EAST BARANGAY HEALTH STATION",,"Region 2","0231","ISABELA","023134","SANTA MARIA","BHS",
"DOH000000000019574","MOZZOZZIN SUR BARANGAY HEALTH STATION",,"Region 2","0231","ISABELA","023134","SANTA MARIA","BHS",
"DOH000000000019576","SAN ISIDRO WEST BARANGAY HEALTH STATION",,"Region 2","0231","ISABELA","023134","SANTA MARIA","BHS",
"DOH000000000019657","JOVELLAR MAIN HEALTH CENTER",,"Region 5","0505","ALBAY","050505","JOVELLAR","BHS",
"DOH000000000019786","MAYBANCAL BARANGAY HEALTH STATION",,"Region 4A","0458","RIZAL","045809","MORONG","BHS",
"DOH000000000019798","BAGABAG I BARANGAY HEALTH STATION",,"Region 4A","0421","CAVITE","042117","ROSARIO","BHS",
"DOH000000000019807","LIGTONG III BARANGAY HEALTH STATION",,"Region 4A","0421","CAVITE","042117","ROSARIO","BHS",
"DOH000000000019811","LIGTONG IV BARANGAY HEALTH STATION",,"Region 4A","0421","CAVITE","042117","ROSARIO","BHS",
"DOH000000000019820","MUZON II BARANGAY HEALTH STATION",,"Region 4A","0421","CAVITE","042117","ROSARIO","BHS",
"DOH000000000019831","TAYABAS RURAL HEALTH UNIT",,"Region 4A","0456","QUEZON","045647","TAYABAS","RHU",
"DOH000000000019924","BENTUNG BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019931","CANNERY BARANGAY HEALTH STATION II",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019933","CROSSING PALKAN BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019934","GLAMANG BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019935","KINILIS BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019936","KLINAN 6 BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019937","KORONADAL PROPER BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019938","LAMCALIAF BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019952","LANDAN BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019953","LAPU BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019954","LUMAKIL BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019956","MALIGO BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019957","PAGALUNGAN BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019962","POBLACION 1 BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019964","POBLACION 2 BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019966","POBLACION 3 BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019968","POBLACION 4 BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019978","POLO BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019981","RUBBER BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019982","SILWAY 7 BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019986","SILWAY 8 BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019989","SULIT BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019991","SUMBAKIL BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000019996","UPPER KLINAN BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126312","POLOMOLOK","BHS",
"DOH000000000020020","SANTO NIÑO RURAL HEALTH UNIT","STO. NI?O RURAL HEALTH UNIT","Region 12","1263","SOUTH COTABATO","126318","SANTO NIÃ‚ÂO","RHU","P12025539"
"DOH000000000020021","HAPAY NA MANGGA BARANGAY HEALTH STATION",,"Region 4A","0458","RIZAL","045813","TAYTAY","BHS",
"DOH000000000020055","ALMAGUER SOUTH BARANGAY HEALTH STATION",,"Region 2","0250","NUEVA VIZCAYA","025004","BAMBANG","BHS",
"DOH000000000020060","BUENAVISTA BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126313","SURALLAH","BHS",
"DOH000000000020061","CANAHAY (GODWINO) BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126313","SURALLAH","BHS",
"DOH000000000020064","DAJAY BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126313","SURALLAH","BHS",
"DOH000000000020065","DUENGAS BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126313","SURALLAH","BHS",
"DOH000000000020075","TALAHIK BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126313","SURALLAH","BHS",
"DOH000000000020076","TUBI - ALA BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126313","SURALLAH","BHS",
"DOH000000000020077","UPPER SEPAKA BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126313","SURALLAH","BHS",
"DOH000000000020078","VETERANS BARANGAY HEALTH STATION",,"Region 12","1263","SOUTH COTABATO","126313","SURALLAH","BHS",
"DOH000000000020104","SAN ANTONIO NORTH BARANGAY HEALTH STATION",,"Region 2","0250","NUEVA VIZCAYA","025004","BAMBANG","BHS",
"DOH000000000020173","MAY-IBA BARANGAY HEALTH STATION",,"Region 4A","0458","RIZAL","045814","TERESA","BHS",
"DOH000000000020281","SAPA IV BARANGAY HEALTH STATION",,"Region 4A","0421","CAVITE","042117","ROSARIO","BHS",
"DOH000000000020287","SILANGAN II BARANGAY HEALTH STATION",,"Region 4A","0421","CAVITE","042117","ROSARIO","BHS",
"DOH000000000020292","WAWA I BARANGAY HEALTH STATION",,"Region 4A","0421","CAVITE","042117","ROSARIO","BHS",
"DOH000000000020297","WAWA II BARANGAY HEALTH STATION",,"Region 4A","0421","CAVITE","042117","ROSARIO","BHS",
"DOH000000000020375","BINANGONAN RURAL HEALTH UNIT IV",,"Region 4A","0458","RIZAL","045804","BINANGONAN","RHU","P93028002"
"DOH000000000020407","BAGUMBAYAN RURAL HEALTH UNIT","BAGUMBAYAN RHU  ","Region 12","1265","SULTAN KUDARAT","126501","BAGUMBAYAN","RHU","P12025565"
"DOH000000000020509","WAWA III BARANGAY HEALTH STATION",,"Region 4A","0421","CAVITE","042117","ROSARIO","BHS",
"DOH000000000020518","LAMBAYONG RURAL HEALTH UNIT","LAMBAYONG RHU  ","Region 12","1265","SULTAN KUDARAT","126508","LAMBAYONG (MARIANO MARCOS)","RHU","P12025559"
"DOH000000000020574","KABULUAN BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051610","SANTA ELENA","BHS",
"DOH000000000020594","LABO RURAL HEALTH UNIT I MAIN HEALTH CENTER",,"Region 5","0516","CAMARINES NORTE","051606","LABO","BHS",
"DOH000000000020605","LABO RURAL HEALTH UNIT II MAIN HEALTH CENTER",,"Region 5","0516","CAMARINES NORTE","051606","LABO","BHS",
"DOH000000000020628","LABO RURAL HEALTH UNIT III MAIN HEALTH CENTER","LABO RURAL HEALTH UNIT III","Region 5","0516","CAMARINES NORTE","051606","LABO","BHS","P05024567"
"DOH000000000020652","DALNAC BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051608","PARACALE","BHS",
"DOH000000000020654","TUGOS BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051608","PARACALE","BHS",
"DOH000000000020656","TAWIG BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051608","PARACALE","BHS",
"DOH000000000020660","BATOBALANI BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051608","PARACALE","BHS",
"DOH000000000020661","CALABURNAY BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051608","PARACALE","BHS",
"DOH000000000020668","GUINACUTAN BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051612","VINZONS","BHS",
"DOH000000000020681","POBLACION BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051611","TALISAY","BHS",
"DOH000000000020689","MATOOGTOOG BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051607","MERCEDES","BHS",
"DOH000000000020700","SANTA CRUZ BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051605","JOSE PANGANIBAN","BHS",
"DOH000000000020705","POBLACION I BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051601","BASUD","BHS",
"DOH000000000020709","POBLACION BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051602","CAPALONGA","BHS",
"DOH000000000020710","SAN ROQUE BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051602","CAPALONGA","BHS",
"DOH000000000020712","VILLA AURORA BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051602","CAPALONGA","BHS",
"DOH000000000020776","LIWAN EAST BARANGAY HEALTH STATION",,"CAR","1432","KALINGA","143211","RIZAL (LIWAN)","BHS",
"DOH000000000020794","AGBANNAWAG BARANGAY HEALTH STATION",,"CAR","1432","KALINGA","143213","TABUK (Capital)","BHS",
"DOH000000000020826","NAMBARAN BARANGAY HEALTH STATION",,"CAR","1432","KALINGA","143213","TABUK (Capital)","BHS",
"DOH000000000020835","BULO BARANGAY HEALTH STATION",,"CAR","1432","KALINGA","143213","TABUK (Capital)","BHS",
"DOH000000000020850","IPIL BARANGAY HEALTH STATION",,"CAR","1432","KALINGA","143213","TABUK (Capital)","BHS",
"DOH000000000020982","MAGSAYSAY RURAL HEALTH UNIT","MAGSAYSAY PALAWAN RURAL HEALTH UNIT","Region 4B","1753","PALAWAN","175314","MAGSAYSAY","RHU","P42026081"
"DOH000000000020984","MAGSAYSAY (LINUGOS) RURAL HEALTH UNIT","MAGSAYSAY MUNICIPAL HEALTH OFFICE","Region 10","1043","MISAMIS ORIENTAL","104317","MAGSAYSAY (LINUGOS)","RHU","P10025407"
"DOH000000000020988","OLD DAMULOG BARANGAY HEALTH STATION",,"Region 10","1013","BUKIDNON","101302","DAMULOG","BHS",
"DOH000000000020991","POBLACION BARANGAY HEALTH STATION",,"Region 10","1013","BUKIDNON","101305","IMPASUG-ONG","BHS",
"DOH000000000020992","POBLACION BARANGAY HEALTH STATION",,"Region 10","1013","BUKIDNON","101306","KADINGILAN","BHS",
"DOH000000000020993","SALVACION BARANGAY HEALTH STATION",,"Region 10","1013","BUKIDNON","101306","KADINGILAN","BHS",
"DOH000000000021041","MATUPE BARANGAY HEALTH STATION",,"Region 10","1013","BUKIDNON","101318","SAN FERNANDO","BHS",
"DOH000000000021109","ADAPUN-ALI BARANGAY HEALTH STATION",,"Region 10","1035","LANAO DEL NORTE","103502","BALOI","BHS",
"DOH000000000021113","BATOLACONGAN BARANGAY HEALTH STATION",,"Region 10","1035","LANAO DEL NORTE","103502","BALOI","BHS",
"DOH000000000021121","POBLACION WEST BARANGAY HEALTH STATION",,"Region 10","1035","LANAO DEL NORTE","103502","BALOI","BHS",
"DOH000000000021220","MATAMPAY BUCANA BARANGAY HEALTH STATION",,"Region 10","1035","LANAO DEL NORTE","103509","LALA","BHS",
"DOH000000000021222","CAMALAN BARANGAY HEALTH STATION",,"Region 10","1035","LANAO DEL NORTE","103509","LALA","BHS",
"DOH000000000021223","DARUMAWANG ILAYA BARANGAY HEALTH STATION",,"Region 10","1035","LANAO DEL NORTE","103509","LALA","BHS",
"DOH000000000021226","LANIPAO BARANGAY HEALTH STATION",,"Region 10","1035","LANAO DEL NORTE","103509","LALA","BHS",
"DOH000000000021230","PINOYAK BARANGAY HEALTH STATION",,"Region 10","1035","LANAO DEL NORTE","103509","LALA","BHS",
"DOH000000000021231","RAW-AN BARANGAY HEALTH STATION",,"Region 10","1035","LANAO DEL NORTE","103509","LALA","BHS",
"DOH000000000021235","TENAZAS BARANGAY HEALTH STATION",,"Region 10","1035","LANAO DEL NORTE","103509","LALA","BHS",
"DOH000000000021236","TUNA-AN BARANGAY HEALTH STATION",,"Region 10","1035","LANAO DEL NORTE","103509","LALA","BHS",
"DOH000000000021282","OLD POBLACION BARANGAY HEALTH STATION",,"Region 10","1035","LANAO DEL NORTE","103514","MUNAI","BHS",
"DOH000000000021294","IBAJAY RURAL HEALTH UNIT II","IBAJAY RURAL HEALTH UNIT II","Region 6","0604","AKLAN","060406","IBAJAY","RHU","P06024698"
"DOH000000000021430","PIGCARANGAN BARANGAY HEALTH STATION",,"Region 10","1035","LANAO DEL NORTE","103522","TUBOD (Capital)","BHS",
"DOH000000000021436","TANGUEGUIRON BARANGAY HEALTH STATION",,"Region 10","1035","LANAO DEL NORTE","103522","TUBOD (Capital)","BHS",
"DOH000000000021509","BAGUMBANG BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104203","BONIFACIO","BHS",
"DOH000000000021515","DIMALCO BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104203","BONIFACIO","BHS",
"DOH000000000021516","DULLAN BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104203","BONIFACIO","BHS",
"DOH000000000021518","LILOAN BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104203","BONIFACIO","BHS",
"DOH000000000021529","TANGAB BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104203","BONIFACIO","BHS",
"DOH000000000021531","TUSIK BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104203","BONIFACIO","BHS",
"DOH000000000021561","DELA PAZ BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104205","CLARIN","BHS",
"DOH000000000021565","GUBA (OZAMIS) BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104205","CLARIN","BHS",
"DOH000000000021568","LAPASAN BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104205","CLARIN","BHS",
"DOH000000000021572","MIALEN BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104205","CLARIN","BHS",
"DOH000000000021573","PAN-AY BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104205","CLARIN","BHS",
"DOH000000000021575","POBLACION I BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104205","CLARIN","BHS",
"DOH000000000021576","SEGATIC DAKU BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104205","CLARIN","BHS",
"DOH000000000021581","TINACLA-AN BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104205","CLARIN","BHS",
"DOH000000000021582","POBLACION II BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104205","CLARIN","BHS",
"DOH000000000021720","DIGUAN BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104210","OZAMIS CITY","BHS",
"DOH000000000021795","PANALSALAN BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104212","PLARIDEL","BHS",
"DOH000000000021798","SANTA CRUZ BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104212","PLARIDEL","BHS",
"DOH000000000021801","TIPOLO BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104212","PLARIDEL","BHS",
"DOH000000000021802","UNIDOS BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104212","PLARIDEL","BHS",
"DOH000000000021805","BITIBUT BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104213","SAPANG DALAGA","BHS",
"DOH000000000021807","CALUYA BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104213","SAPANG DALAGA","BHS",
"DOH000000000021826","MEDALLO BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104213","SAPANG DALAGA","BHS",
"DOH000000000021838","KATIPUNAN BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104214","SINACABAN","BHS",
"DOH000000000021839","LIBERTAD ALTO BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104214","SINACABAN","BHS",
"DOH000000000021848","TIPAN BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104214","SINACABAN","BHS",
"DOH000000000021850","SANTA MARIA (BAGA) BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104215","TANGUB CITY","BHS",
"DOH000000000021855","BINTANA BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104215","TANGUB CITY","BHS",
"DOH000000000021868","KAUSWAGAN BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104215","TANGUB CITY","BHS",
"DOH000000000021871","LORENZO TAN BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104215","TANGUB CITY","BHS",
"DOH000000000021872","BARANGAY VI - LOWER POLAO (POB.) BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104215","TANGUB CITY","BHS",
"DOH000000000021876","MANGGA BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104215","TANGUB CITY","BHS",
"DOH000000000021889","SANTA CRUZ BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104215","TANGUB CITY","BHS",
"DOH000000000021905","BALON BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104216","TUDELA","BHS",
"DOH000000000021910","CABOL-ANONAN BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104216","TUDELA","BHS",
"DOH000000000021913","CANIBUNGAN PROPER BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104216","TUDELA","BHS",
"DOH000000000021923","LOCSO-ON BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104216","TUDELA","BHS",
"DOH000000000021924","MAIKAY BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104216","TUDELA","BHS",
"DOH000000000021931","SAN NICOLAS BARANGAY HEALTH STATION",,"Region 10","1042","MISAMIS OCCIDENTAL","104216","TUDELA","BHS",
"DOH000000000021950","CALATCAT BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104301","ALUBIJID","BHS",
"DOH000000000021952","LANAO BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104301","ALUBIJID","BHS",
"DOH000000000021954","LOURDES BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104301","ALUBIJID","BHS",
"DOH000000000021957","POBLACION BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104301","ALUBIJID","BHS",
"DOH000000000021958","SAMPATULOG BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104301","ALUBIJID","BHS",
"DOH000000000021959","SUNGAY BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104301","ALUBIJID","BHS",
"DOH000000000021961","TAPARAK BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104301","ALUBIJID","BHS",
"DOH000000000021963","TULA BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104301","ALUBIJID","BHS",
"DOH000000000022011","AGUSAN URBAN HEALTH CENTER",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","RHU",
"DOH000000000022014","BALUBAL BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","BHS",
"DOH000000000022042","BARANGAY 40 (POB.) URBAN HEALTH CENTER","CHO LYING-IN AND FAMILY PLANNING CLINIC","Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","RHU","P10025425"
"DOH000000000022050","BUGO URBAN HEALTH CENTER",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","RHU",
"DOH000000000022056","DANSOLIHON BARANGAY HEALTH STATION AND LYING IN CLINIC",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","BHS",
"DOH000000000022057","GUSA URBAN HEALTH CENTER",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","RHU",
"DOH000000000022058","INDAHAG URBAN HEALTH CENTER",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","RHU",
"DOH000000000022061","LAPASAN URBAN HEALTH CENTER","LAPASAN HEALTH CENTER ","Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","BHS","P10025419"
"DOH000000000022063","MACASANDIG - MANDUMOL BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","BHS",
"DOH000000000022069","PUERTO URBAN HEALTH CENTER",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","RHU",
"DOH000000000022070","PUNTOD BARANGAY HEALTH STATION AND DOTS CLINIC",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","BHS",
"DOH000000000022074","TAGPANGI BARANGAY HEALTH STATION AND LYING IN CLINIC",,"Region 10","1043","MISAMIS ORIENTAL","104305","CAGAYAN DE ORO CITY (Capital)","BHS",
"DOH000000000022204","BURNAY BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104309","GITAGUM","BHS",
"DOH000000000022207","GREGORIO PELAEZ (LAGUTAY) BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104309","GITAGUM","BHS",
"DOH000000000022210","PANGAYAWAN BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104309","GITAGUM","BHS",
"DOH000000000022212","QUEZON BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104309","GITAGUM","BHS",
"DOH000000000022213","TALA-O BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104309","GITAGUM","BHS",
"DOH000000000022231","APLAYA BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","BHS",
"DOH000000000022233","BOBONTUGAN BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","BHS",
"DOH000000000022234","CORRALES BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","BHS",
"DOH000000000022235","DANAO BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","BHS",
"DOH000000000022236","JAMPASON BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","BHS",
"DOH000000000022237","KIMAYA BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","BHS",
"DOH000000000022238","LOWER JASAAN (POB.) BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","BHS",
"DOH000000000022239","LUZ BANZON BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","BHS",
"DOH000000000022240","NATUBO BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","BHS",
"DOH000000000022241","SAN ANTONIO BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","BHS",
"DOH000000000022242","SAN ISIDRO BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","BHS",
"DOH000000000022243","SAN NICOLAS BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","BHS",
"DOH000000000022244","SOLANA BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","BHS",
"DOH000000000022245","UPPER JASAAN BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","BHS",
"DOH000000000022246","I. S. CRUZ BARANGAY HEALTH STATION",,"Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","BHS",
