"generic_code","generic_description"
"PEG2A","PEGINTERFERON ALFA 2A"
"PEGIN","PEGINTERFERON ALFA-2A (40KD)"
"PEMIR","PEMIROLAST POTASSIUM"
"PENB1","PENICILLIN G BENZATHINE (BENZATHINE BENZYLPENICILLIN)"
"PENI1","PENICILLIN G CRYSTALLINE"
"PENI2","PENICILLIN V"
"PENIC","PENICILLIN G BENZATHINE"
"PENT1","PENTOXYVERINE"
"PENTO","PENTOXIFYLLINE"
"PEPO0","PEDIATRIC POLYMERIC"
"PERE1","PERMETHRIN LOTION"
"PERE2","PERMETHRIN SHAMPOO"
"PERI1","PERINDOPRIL (AS ERBUMINE)"
"PERI2","PERINDOPRIL + INDAPAMIDE"
"PERI3","PERINDOPRIL ARGININE + INDAPAMIDE"
"PERIN","PERINDOPRIL"
"PERIT","PERITONEAL DIALYSIS SOLUTION"
"PERM1","PERMETHIN"
"PERME","PERMETHRIN"
"PERPH","PERPHENAZINE"
"PERT1","PERITONEAL DIALYSIS SOLUTION WITH 1.5% DEXTROSE"
"PERT2","PERITONEAL DIALYSIS SOLUTION WITH 2.3% GLUCOSE"
"PERT3","PERITONEAL DIALYSIS SOLUTION WITH 2.5% DEXTROSE"
"PERT4","PERITONEAL DIALYSIS SOLUTION WITH 4.25% DEXTROSE"
"PERT5","PERINDOPRIL (AS TERT-BUTYLAMINE)"
"PERT6","PERITONEAL DIALYSIS SOLUTION WITH 7.5% ICODEXTRIN"
"PETH1","PETHIDINE HYDROCHLORIDE"
"PETHI","PETHIDINE"
"PETRO","PETROLATUM/PETROLEUM"
"PHEH1","PHENYLPROPANOLAMINE HYDROCHLORIDE + CHLORPHENAMINE MALEATE"
"PHEH2","PHENYLPROPANOLAMINE HYDROCHLORIDE + BROMPHENIRAMINE MALEATE"
"PHEH3","PHENYLPROPANOLAMINE HYDROCHLORIDE + PARACETAMOL"
"PHEN1","PHENOXYMETHYL PENICILLIN (PENICILLIN V)"
"PHEN2","PHENOXYMETHYLPENICILLIN POTASSIUM"
"PHEN3","PHENYLEPHRINE HYDROCHLORIDE + BROMPHENIRAMINE MALEATE"
"PHEN4","PHENYLEPHRINE HYDROCHLORIDE + CHLORPHENAMINE MALEATE + PARACETAMOL"
"PHEN5","PHENYLEPHRINE HYDROCHLORIDE + PARACETAMOL"
"PHEN6","PHENYLEPHRINE HYDROCHLORIDE"
"PHENC","PHENYLEPHRINE HYDROCHLORIDE + CHLORPHENIRAMINE MALEATE"
"PHENE","PHENYLEPHRINE"
"PHENI","PHENIRAMINE MALEATE + NAPHAZOLINE HYDROCHLORIDE"
"PHENO","PHENOBARBITAL"
"PHENT","PHENTERMINE"
"PHENY","PHENYLEPHRINE"
"PHEY1","PHENYLPROPANOLAMINE"
"PHEY2","PHENYLPROPANOLAMINE HYDROCHLORIDE + PHENYLEPHRINE HYDROCHLORIDE + BROMPHENIRAMINE MALEATE"
"PHEY3","PHENYRAMIDOL"
"PHEY4","PHENYTOIN"
"PHEY5","PHENYTOIN (AS SODIUM)"
"PHEYH","PHENYLPROPANOLAMINE HYDROCHLORIDE"
"PHOSP","PHOSPHOLIPIDS + MULTIVITAMINS"
"PHYSO","PHYSOSTIGMINE"
"PHYT1","PHYTONADIONE"
"PHYTO","PHYTOMENADIONE"
"PILO1","PILOCARPINE HYDROCHLORIDE"
"PILO2","PILOCARPINE NITRATE"
"PILOC","PILOCARPINE"
"PIMEC","PIMECROLIMUS"
"PINAV","PINAVERIUM BROMIDE"
"PIND1","PINDOLOL + CLOPAMIDE"
"PINDO","PINDOLOL"
"PINE1","PINENE (ALPHA + BETA) + CAMPHENE + CINEOL + MENTHOL + MENTHONE + BORNEOL + OLIVE OIL"
"PINEN","PINENE (ALPHA + BETA) + CAMPHENE + CINEAOL + FENCHONE + BORNEOL + ANETHOL + OLIVE OIL"
"PINET","PINE TAR + JUNIPER TAR + COAL TAR"
"PIOGL","PIOGLITAZONE (AS HYDROCHLORIDE)"
"PIPE1","PIPERACILLIN (AS SODIUM) + TAZOBACTAM (AS SODIUM)"
"PIPEH","PIPERAZINE HYDRATE"
"PIPER","PIPERACILLIN + TAZOBACTAM"
"PIRAC","PIRACETAM"
"PIRE1","PIRENOXINE + CATALENT"
"PIREN","PIRENOXINE"
"PIRIB","PIRIBEDIL"
"PIRO1","PIROXICAM BETADEX"
"PIROX","PIROXICAM"
"PIZO1","PIZOTIFEN MALEATE"
"PIZO2","PIZOTIFEN (AS HYDROGEN MALEATE) + THIAMINE MONONITRATE (VIT. B1) + RIBOFLAVIN PHOSPHATE (VIT. B2) +"
"PIZO3","PIZOTIFEN + THIAMINE HYDROCHLORIDE + RIBOFLAVIN PHOSPHATE + NICOTINAMIDE"
"PIZO4","PIZOTIFEN + THIAMINE HYDROCHLORIDE + RIBOFLAVIN PHOSPHATE + PYRIDOXINE HYDROCHLORIDE + NICOTINAMIDE"
"PIZOT","PIZOTIFEN HYDROGEN MALEATE"
"PNE01","PNEUMOCOCCAL CONJUGATE VACCINE"
"PNE13","PNEUMOCOCCAL 13 VALENT CONJUGATE VACCINE"
"PNEUM","PNEUMOCOCCAL POLYVALENT VACCINE"
"PNEUV","PNEUMOCOCCAL POLYSACCHARIDE AND NON- TYPEABLE HAEMOPHILUS INFLUENZAE (NTHI) PROTEIN D CONJUGATE VACC"
"POLGY","POLYETHYLENE GLYCOL 400 + PROPYLENE GLYCOL"
"POLI1","POLICRESULEN + CINCHOCAINE HYDROCHLORIDE"
"POLIC","POLICRESULEN"
"POLY1","POLYMYXIN B SULFATE + GRAMICIDIN + NEOMYCIN SULFATE"
"POLY2","POLYMIXIN (AS SULFATE) + NEOMYCIN (AS SULFATE) + DEXAMETHASONE"
"POLY3","POLYMYCIN B (AS SULFATE) + NEOMYCIN (AS SULFATE) + DEXAMETHASONE (AS SODIUM PHOSPHATE)"
"POLY4","POLYMIXIN B SULFATE + BACITRACIN ZINC + NEOMYCIN SULFATE"
"POLY5","POLYMYCIN B SULFATE + NEOMYCIN (AS SULFATE) + HYDROCORTISONE (AS ACETATE)"
"POLYG","POLYGELINE"
"POLYM","POLYMYXIN B + ACETIC ACID"
"POLYN","POLYMYXIN B SULFATE + NEOMYCIN SULFATE + HYDROCORTISONE"
"POLYS","POLYMYXIN B SULFATE + SULFATE ZINC + NEOMYCION SULFATE"
"POSAC","POSACONAZOLE"
"POTA1","POTASSIUM CHLORIDE"
"POTA2","POTASSIUM PERMANGANATE"
"POTA3","POTASSIUM PHOSPHATES"
"POTA4","POTASSIUM-FREE DIALYSATE-ACETATE-BASED CONTAINING"
"POTA5","POTASSIUM-FREE DIALYSATE-BICARBONATE-BASED CONTAINING"
"POTA6","POTASSIUM BITARTRATE + SODIUM BICARBONATE"
"POTAI","POTASSIUM IODIDE + SODIUM IODIDE"
"POTAM","POTASSIUM CITRATE (AS MONOHYDRATE)"
"POTAS","POTASSIUM"
"POTSC","POTASSIUM CHLORIDE + SODIUM CHLORIDE"
"POTSI","POTASSIUM IODIDE"
"POTSS","POTASSIUM CITRATE"
"POVI1","POVIDONE IODINE (ORAL ANTISEPTIC)"
"POVI2","POVIDONE IODINE (OINTMENT)"
"POVI3","POVIDONE IODINE (PAINT)"
"POVI4","POVIDONE IODINE (SOLUTION)"
"POVI5","POVIDONE IODINE (SURGICAL SKIN CLEANSER)"
"POVID","POVIDONE IODINE"
"PRALI","PRALIDOXIME CHLORIDE"
"PRAMI","PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE"
"PRASU","PRASUGREL (AS HYDROCHLORIDE)"
"PRAVA","PRAVASTATIN"
"PRAZI","PRAZIQUANTEL"
"PRAZO","PRAZOSIN"
"PRED1","PREDNISOLONE + CHLORPHENAMINE MALEATE"
"PRED2","PREDNISONE"
"PRED3","PREDNISOLONE (AS ACETATE)"
"PRED4","PREDNISOLONE (AS SODIUM PHOSPHATE)"
"PREDN","PREDNISOLONE"
"PREG1","PREGABALIN + METHYLCOBALAMIN"
"PREGA","PREGABALIN"
"PREME","PREMETREXED (AS DISODIUM)"
"PREN1","PREDNISOLONE"
"PRILO","PRILOCAINE HYDROCHLORIDE + EPINEPHRINE"
"PRIMA","PRIMAQUINE"
"PROC1","PROCATEROL"
"PROC2","PROCATEROL HYDROCHLORIDE"
"PROCA","PROCARBAZINE"
"PROGE","PROGESTERONE"
"PROGL","PROGLUMETACIN DIMALEATE"
"PROME","PROMETHAZINE HYDROCHLORIDE"
"PROMS","PROCHLORPERAZINE MESILATE"
"PROP1","PROPRANOLOL HYDROCHLORIDE"
"PROP2","PROPARACAINE HYDROCHLORIDE"
"PROPA","PROPARACAINE"
"PROPO","PROPOFOL"
"PROPR","PROPRANOLOL"
"PROPY","PROPYLTHIOURACIL"
"PROTA","PROTAMINE SULFATE"
"PROX1","PROXYMETACAINE (PROPARACAINE)"
"PROXY","PROXYMETACAINE"
"PSEHL","PSEUDOEPHEDRINE HYDROCHLORIDE + LORATADINE"
"PURIF","PURIFIED SOYBEAN OIL + PURIFIED EGG PHOSPHOLIPIDS + GLYCECOL"
"PURIT","PURITINOL HYDROCHLORIDE"
"PURIW","PURIFIED WATER (DISTILLED WATER)"
"PYGEU","PYGEUM AFRICANUM"
"PYRAE","PYRANTEL (AS EMBONATE )"
"PYRAN","PYRANTEL"
"PYRAP","PYRANTEL (AS PAMOATE)"
"PYRAZ","PYRAZINAMIDE"
"PYRI1","PYRIDOXINE (VIT. B6)"
"PYRI2","PYRIDOSTIGMINE BROMIDE"
"PYRID","PYRIDOSTIGMINE"
"PYRIM","PYRIMETHAMINE"
"PYRIT","PYRITINOL"
"QUADV","HUMAN PAPILLOMAVIRUS QUADRIVALENT RECOMBINANT VACCINE (TYPE 6, 11, 16 AND 18)"
"QUE01","QUETIAPINE"
"QUETI","QUETIAPINE (AS FUMARATE)"
"QUIHY","QUINAPRIL + HYDROCHLOROTHIAZIDE"
"QUIN1","QUININE"
"QUIN2","QUININE DIHYDROCHLORIDE"
"QUINA","QUINAPRIL HYDROCHLORIDE"
"QUINI","QUINIDINE BISULFATE"
"QUINS","QUININE SULFATE"
"RABBI","RABBIT ANTI-HUMAN THYMOCYTE IMMUNOGLOBULIN"
"RABEP","RABEPRAZOLE"
"RABI1","RABIES VACCINE"
"RABIE","RABIES IMMUNOGLOBULIN (HUMAN)"
"RACEC","RACECADOTRIL"
"RALO1","RALOXIFENE HYDROCHLORIDE"
"RALOX","RALOXIFENE"
"RAMIP","RAMIPRIL"
"RAMOS","RAMOSETRON HYDROCHLORIDE"
"RANI1","RANITIDINE (AS HYDROCHLORIDE)"
"RANIT","RANITIDINE"
"REBAM","REBAMIPIDE"
"REC73","RECOMBINANT HUMAN INSULIN (70% ISOPHANE / 30% SOLUBLE)"
"RECHI","RECOMBINANT HUMAN INSULIN"
"RECOM","RECOMBINANT TISSUE PLASMINOGEN ACTIVATOR (RTPA)"
"REGN1","REGULAR, INSULIN (RECOMBINANT DNA, HUMAN)"
"REGUL","REGULAR INSULIN HUMAN (RECOMBINANT DNA ORIGIN)"
"REHII","RECOMBINANT HUMAN INSULIN ISOPHANE"
"REPAG","REPAGLINIDE"
"RESER","RESERPINE"
"RETA1","RETINOL (VITAMIN A)"
"RETAC","RETINOL ACETATE + ERGOCALCIFEROL (VITAMIN D) + ASCORBIC ACID (VITAMIN C) + TOCOPHERYL ACETATE (VITAM"
"RETI1","RETINOL (OLEOVITAMIN A)/CHOLECALCIFEROL (VITAMIN D3)"
"RETI2","RETINOL PALMITATE (VITAMIN A)"
"RETI3","RETINYL PALMITATE CHOLECALCIFEROL"
"RETI4","RETINOL (AS PALMITATE)"
"RETIN","RETINOL"
"RETPA","RETINOL PALMITATE (VITAMIN A) + ERGOCALCIFEROL (VITAMIN D2) + D1-ALPHA TOCOPHEROL (VITAMIN E) + PHYT"
"RIBAV","RIBAVIRIN"
"RIBOF","RIBOFLAVIN (VITAMIN B2)"
"RIEH1","RIFAMPICIN + ISONIAZID + ETHAMBUTOL HYDROCHLORDE"
"RIFA1","RIFAMPULICIN"
"RIFA2","RIFAMPICIN + ISONIAZID"
"RIFA3","RIFAMPICIN + ISONIAZID + PYRAZINAMIDE + ETHAMBUTOL HYDROCHLORIDE"
"RIFA4","RIFAMPICIN + ISONIAZID + ETHAMBUTOL HYDROCHLORDE"
"RIFA5","RIFAMPICIN + ISONIAZID + PYRIDOXINE HYDROCHLORIDE"
"RIFA6","RIFAMPICIN + ISONIAZID (RIMACTAZID) / ETHAMBUTOL"
"RIFA7","RIFAMPICIN + ISONIAZID (RIMACTAZID) / ETHAMBUTOL / PYRAZINAMIDE (PZA-CIBA)"
"RIFA8","RIFAMPICIN + ISONIAZID (RIMACTAZID) /PYRAZINAMIDE (PZA-CIBA)"
"RIFAB","RIFABUTIN"
"RIFAE","RIFAMPICIN + ISONIAZID + PYRAZINAMIDE + ETHAMBUTOL"
"RIFAM","RIFAMPICIN"
"RIH01","REGULAR INSULIN (RECOMBINANT DNA, HUMAN)"
"RINGE","RINGER'S SOLUTION"
"RISE1","RISEDRONATE SODIUM (AS HEMI-PENTAHYDRATE)"
"RISED","RISEDRONATE SODIUM"
"RISPE","RISPERIDONE"
"RITON","RITONAVIR"
"RITUX","RITUXIMAB"
"RIVA1","RIVASTIGMINE (AS HYDROGEN TARTRATE)"
"RIVAS","RIVASTIGMINE"
"ROCU1","ROCURONIUM BROMIDE"
"ROCUR","ROCURONIUM"
"ROPI1","ROPIVACAINE HYDROCHLORIDE"
"ROPIN","ROPINIROLE (AS HYDROCHLORIDE)"
"ROPIV","ROPIVACAINE"
"ROSE1","ROSE BENGAL"
"ROSEC","ROSUVASTATIN (AS CALCIUM)"
"ROSIG","ROSIGLITAZONE"
"ROXIT","ROXITHROMYCIN"
"S-AML","S-AMLODIPINE (AS BESILATE)"
"SACCH","SACCHAROMYCES BOULARDII"
"SALB1","SALBUTAMOL + GUAIFENESIN"
"SALB2","SALBUTAMOL (AS SULFATE)"
"SALB3","SALBUTAMOL (AS SULFATE) + GUAIFENESIN"
"SALBG","SALBUTAMOL (AS SULFATE) + BROMHEXINE HYDROCHLORIDE + GUAIFENESIN"
"SALBU","SALBUTAMOL"
"SALCA","SALBUTAMOL (AS SULFATE) + CARBOCISTEINE"
"SALI1","SALICYLIC ACID + BENZALKONIUM CHLORIDE"
"SALI2","SALICYLIC ACID + BENZOIC ACID + RESORCINOL"
"SALI3","SALICYLIC ACID + BENZOIC ACID + RESORCINOL + THYMOL CRYSTALS"
"SALI4","SALICYLIC ACID + LACTIC ACID"
"SALIB","SALBUTAMOL (AS SULFATE) + IPRATROPIUM BROMIDE"
"SALIC","SALICYLIC ACID"
"SALM1","SALMETEROL (AS XINAFOATE) + FLUTICASONE PROPIONATE"
"SALM2","SALMON CALCITONIN"
"SALME","SALMETEROL"
"SAMBO","SAMBONG"
"SAQUI","SAQUINAVIR"
"SAXAG","SAXAGLIPTIN (AS HYDROCHLORIDE)"
"SBSC1","SODIUM BICARBONATE WITH SODIUM CHLORIDE"
"SECNI","SECNIDAZOLE"
"SELE1","SELEGILINE HYDROCHLORIDE"
"SELEG","SELEGILINE"
"SELEM","SELENIUM"
"SELEN","SELENIUM SULFIDE"
"SENN1","SENNA + GLYCYRRHIZA + RHUBARB + CARAWAY + SODIUM BICARBONATE + COCHINEAL + CAMPHOR + BENZOIC ACID"
"SENN2","SENNA FRUITS + SENNA LEAVES"
"SENN3","SENNA LEAVES + SENNA PODS"
"SENN4","SENNA LEAVES EXTRACT + FLUID EXTRACT OF PUMPKINS SEEDS + FLUID EXTRAXT OF WORM SEEDS + SODIUM POTAS"
"SENNA","SENNA"
"SERT1","SERTRALINE (AS HYDROCHLORIDE)"
"SERTA","SERTACONAZOLE"
"SERTR","SERTRALINE"
"SEVOF","SEVOFLURANE"
"SIBU1","SIBUTRAMINE HYDROCHLORIDE"
"SIBU2","SIBUTRAMINE HYDROCHLORIDE MONOHYDRATE"
"SIBUT","SIBUTRAMINE"
"SILA1","SILVER SULFADIAZINE CREAM"
"SILDE","SILDENAFIL (AS CITRATE)"
"SILV1","SILVER SULFADIAZINE"
"SILV2","SILVER SULFADIAZINE + CERIUM NITRATE"
"SILVE","SILVER NITRATE"
"SILY1","SILYMARIN + VITAMIN B-COMPLEX"
"SILYM","SILYMARIN"
"SIMET","SIMETICONE"
"SIMUB","SIMVASTATIN + UBIDECARENONE (COENZYME Q10)"
"SIMVA","SIMVASTATIN"
"SIROL","SIROLIMUS"
"SITAG","SITAGLIPTIN PHOSPHATE/METFORMIN HYDROCHLORIDE"
"SOD01","SODIUM DIHYDROAZAPENTACENE POLYSULFONATE"
"SODAS","SODIUM ASCORBATE"
"SODCC","SODIUM CARBOXYMETHYLCELLULOSE"
"SODCD","SODIUM CHLORIDE + DEXTROSE"
"SODHY","SODIUM HYALURONATE"
"SODI1","SODIUM CALCIUM EDETATE"
"SODI2","SODIUM CHLORIDE"
"SODI3","SODIUM CHROMOGLICATE"
"SODI4","SODIUM DICHLOROCYANURATE"
"SODI5","SODIUM FUSIDATE"
"SODI6","SODIUM HYPOCHLORITE"
"SODI7","SODIUM IODIDE 1311"
"SODI8","SODIUM NITRITE"
"SODI9","SODIUM NITROPRUSSIDE"
"SODIA","SODIUM ALGINATE + SODIUM BICARBONATE + CALCIUM CARBONATE"
"SODIB","SODIUM BICARBONATE + SODIUM CITRATE + CITRIC ACID + TARTATIC ACID"
"SODIC","SODIUM DICHLOROISOCYANURATE"
"SODIM","SODIUM CHLORIDE + POTASSIUM CHLORIDE + CALCIUM CHLORIDE + MAGNESSIUM CHLORIDE"
"SODIP","SODIUM IODINE + POTASSIUM IODIDE"
"SODIS","SODIUM SULFATE"
"SODIT","SODIUM THIOSULFATE"
"SODIU","SODIUM BICARBONATE"
"SODIX","SODIUM CHLORIDE + XYLITOL"
"SODIZ","SODIUM ASCORBATE + ZINC SULFATE"
"SODPM","SODIUM PICOSULFATE + MAGNESSIUM OXIDE + CITRIC ACID"
"SODS1","SODIUM ASCORBATE + ASCORBIC ACID + ROSE HIPS + CITRUS BIOFLAVONOIDS"
"SOMAT","SOMATOSTATIN"
"SOTA1","SOTALOL"
"SOYME","SOYA BEAN OIL + MEDIUM CHAIN TRIGLYCERIDES + OLIVE OIL + PURIFIED FISH OIL"
"SPCMS","SODIUM CHLORIDE + POTASSIUM CHLORIDE + CALCIUM CHLORIDE + MAGNESIUM CHLORIDE + SODIUM ACETATE + SODI"
"SPECI","SPECIAL ENNA'S E MOON"
"SPECT","SPECTINOMYCIN"
"SPIR1","SPIRONOLACTONE + BUTIZIDE"
"SPIRO","SPIRONOLACTONE"
"STAN1","STANDARIZED SENNA CONCENTRATE"
"STAND","STANDARD SENNA CONCENTRATE"
"STAVU","STAVUDINE"
"STER1","STERILE WATER FOR INJECTION"
"STER2","STERILE WATER FOR IRRIGATION"
"STERI","STERILE WATER"
"STRE1","STREPTOMYCIN"
"STRE2","STREPTOMYCIN (AS SULFATE)"
"STREP","STREPTOKINASE"
"SUCC1","SUCCINYLCHOLINE"
"SUCCI","SUCCIMER"
"SUCRA","SUCRALFATE"
"SUF01","SULFACETAMIDE"
"SUFAP","SULFACETAMIDE + PREDNISOLONE"
"SUFU1","SULFUR (CREAM)"
"SUFU2","SULFUR (OINTMENT)"
"SUG01","SUGAMMADEX"
"SULAD","SULADOXINE/PYRIMETHAMINE"
"SULBU","SULBUTIAMINE"
"SULF1","SULFACETAMIDE + PREDNISOLONE"
"SULF2","SULFADOXINE"
"SULF3","SULFADOXINE + PYRIMETHAMINE"
"SULF4","SULFAMETHOXAZOLE + TRIMETHOPRIM"
"SULFA","SULFACETAMIDE"
"SULFU","SULFUR"
"SULT1","SULTAMICILLIN (AS TOSYLATE)"
"SULTA","SULTAMICILLIN"
"SUMAT","SUMATRIPTAN"
"SUX01","SUXAMETHONIUM (SUCCINYLCHOLINE)"
"SUXA1","SUXAMETHONIUM CHLORIDE (SUCCINYLCHOLINE CHLORIDE)"
"SUXA2","SUXAMETHONIUM CHLORIDE"
"SUXAM","SUXAMETHONIUM"
"TACR1","TACROLIMUS (AS MONOHYDRATE)"
"TACRO","TACROLIMUS"
"TADAL","TADALAFIL"
"TAFLU","TAFLUPROST"
"TAMO1","TAMOXIFEN CITRATE"
"TAMO2","TAMOXIFEN (AS CITRATE)"
"TAMOX","TAMOXIFEN"
"TAMS1","TAMSOLUSIN HYDROCHLORIDE"
"TAMSU","TAMSULOSIN"
"TAZAR","TAZAROTENE"
"TDF01","TENOFOVIR DISOPROXIL FUMARATE"
"TEGAF","TEGAFUR + URACIL"
"TELA1","TELMISARTAN + AMLODIPINE (AS BESILATE)"
"TELA2","TELMISARTAN + HYDROCHLOROTHIAZIDE"
"TELAM","TELMISARTAN"
"TEMOZ","TEMOZOLOMIDE"
"TERA1","TERAZOSIN (AS HYDROCHLORIDE)"
"TERA2","TERAZOSIN (AS HYDROCHLORIDE DIHYDRATE)"
"TERAZ","TERAZOSIN"
"TERB1","TERBUTALINE SULFATE"
"TERB2","TERBUTALINE SULFATE + GUAIFENESIN"
"TERB3","TERBINAFINE (AS HYDROCHLORIDE)"
"TERBI","TERBINAFINE"
"TERBU","TERBUTALINE"
"TERIZ","TERIZODONE"
"TESTO","TESTOSTERONE"
"TETA1","TETANUS TOXOID"
"TETAN","TETANUS IMMUNOGLOBULIN"
"TETAR","TETANUS ANTITOXIN REFINED"
"TETC1","TETRACOSACTIDE (CONSYNTROPIN)"
"TETR1","TETRACOSACTIDE"
"TETR2","TETRACYCLINE"
"TETR3","TETRACAINE HYDROCHLORIDE"
"TETR4","TETRACYCLINE + AMPHOTERICIN B"
"TETR5","TETRACYCLINE HYDROCHLORIDE"
"TETRA","TETRACAINE"
"THEO1","THEOPHYLLINE (ANHYDROUS)"
"THEO2","THEOPHYLLINE ETHYLENEDIAMINE"
"THEOP","THEOPHYLLINE"
"THIA1","THIAMINE (HYDROCHLORIDE)"
"THIA2","THIAMINE + PYRIDOXINE + CYANOCOBALAMIN"
"THIA3","THIAMINE MONONITRATE (VITAMIN B1) + PYRIDOXINE HYDROCHLORIDE (VITAMIN B6) + CYANOCOBALAMIN (VITAMIN"
"THIA4","THIAMINE HYDROCHLORIDE (VITAMIN B1) + PYRIDOXINE HYDROCHLORIDE (VITAMIN B6) + CYANOCOBALAMIN (VITAMI"
"THIA5","THIAMINE MONONITRATE (VIT .B1) + PYRIDOXINE HYDROCHLORIDE (VIT. B6) + CYANOCOBALAMIN (VIT. B12) + D-"
"THIA6","THIAMINE HYDROCHLORIDE"
"THIA7","THIAMINE MONOHYDRATE (VITAMIN B1) + PYRIDOXINE HYDROCHLORIDE (VITAMIN B6) + CYANOCOBALAMIN (VITAMIN"
"THIAC","THIACETAZONE"
"THIAM","THIAMAZOLE (METHIMAZOLE)"
"THIAV","THIAMINE MONONITRATE (VIT. B1) + RIBOFLAVIN (VIT. B2) + NICOTINAMIDE (VIT. B3)"
"THIOP","THIOPENTAL SODIUM"
"THIOR","THIORIDAZINE HYDROCHLORIDE"
"THYMO","THYMOSIN ALFA 1"
"TIHU1","TETANUS IMMUNOGLOBULIN (HUMAN)"
"TIL01","TIMOLOL"
"TIMO1","TIMOLOL (AS MALEATE)"
"TIMO2","TIMOLOL MALEATE + PILOCARPINE HYDROCHLORIDE"
"TIMOL","TIMOLOL"
"TIN01","TINZAPARIN"
"TINZA","TINZAPARIN SODIUM"
"TIOCO","TIOCONAZOLE"
"TIOTB","TIOTROPIUM (AS BROMIDE)"
"TIOTR","TIOTROPIUM"
"TIROF","TIROFIBAN"
"TOBR1","TOBRAMYCIN + DEXAMETHASONE"
"TOBR2","TOBRAMYCIN (AS SULFATE)"
"TOBR3","TOBRAMYCIN SULFATE + DEXAMETHASONE"
"TOBRA","TOBRAMYCIN"
"TOLN1","TOLNAFTATE + BETAMETHASONE + GENTAMICIN CLIOQUINOL"
"TOLN2","TOLNAFTATE + CLIOOQUINOL + GENTAMICIN (AS SULFATE) + BETHAMETHASONE (AS VALERATE)"
"TOLNA","TOLNAFTATE"
"TOPIR","TOPIRAMATE"
"TRA01","TRASTUZUMAB"
"TRAM1","TRAMADOL HYDROCHLORIDE"
"TRAM2","TRAMADOL HYDROCHLORIDE + PARACETAMOL"
"TRAMA","TRAMADOL"
"TRANE","TRANEXAMIC ACID"
"TRAPI","TRAPIDIL"
"TRAVO","TRAVOPROST"
"TRETI","TRETINOIN"
"TRIA1","TRIAMCINOLONE ACETONIDE + NEOMYCIN (AS SULFATE) + GRAMICIDIN + NYSTATIN"
"TRIA2","TRIAMCINOLONE (AS ACETONIDE)"
"TRIAM","TRIAMCINOLONE"
"TRIB1","TRIBENOSIDE"
"TRIB2","TRIBENOSIDE + LIDOCAINE HYDROCHLORIDE"
"TRIBE","TRIBENOCIDE"
"TRICH","TRICHLOROACETIC ACID"
"TRIFL","TRIFLURIDINE"
"TRIM1","TRIMETAZIDINE (AS DIHYDROCHLORIDE)"
"TRIM2","TRIMETAZIDINE (AS HYDROCHLORIDE)"
"TRIME","TRIMETAZIDINE"
"TROEY","TROPICAMIDE"
"TROPH","TROPISETRON (AS HYDROCHLORIDE)"
"TROPI","TROPICAMIDE"
"TSAAN","TSAANG GUBAT"
"TUBER","TUBERCULIN, PURIFIED PROTEIN DERIVATIVE (PPD)"
"TYPHO","TYPHOID VACCINE"
"UCQ10","UBIDECARENONE (COENZYME Q10)"
"UNDEC","UNDECENOIC ACID + ZINC UNDECYLENATE"
"UNFRA","UNFRACTIONATED HEPARIN"
"UREA","UREA"
"URSO1","URSODEOXYCHOLIC ACID + THIAMINE MONONITRATE + RIBOFLAVIN"
"URSOD","URSODEOXYCHOLIC ACID"
"VALA1","VALACICLOVIR HYDROCHLORIDE"
"VALAC","VALACICLOVIR"
"VALGA","VALGANCICLOVIR"
"VALP1","VALPROIC ACID"
"VALPR","VALPROATE DISODIUM/VALPROIC ACID"
"VALS1","VALSARTAN + HYDROCHLOROTHIAZIDE"
"VALSA","VALSARTAN"
"VANC1","VANCOMYCIN (AS HYDROCHLORIDE)"
"VANCO","VANCOMYCIN"
"VARIC","VARICELLA ZOSTER IMMUNOGLOBULIN (VZIG)"
"VASOP","VASOPRESSIN (ANTIDIURETIC HORMONE, ADH)"
"VDIS1","VALPROATE DISODIUM"
"VECU1","VECURONIUM BROMIDE"
"VECUR","VECURONIUM"
"VERAH","VERAPAMIL HYDROCHLORIDE"
"VERAP","VERAPAMIL"
"VERO1","VERO CELL (PURIFIED)"
"VERTO","VERTOPORFIN"
"VIBCI","VITAMIN B COMPLEX + IRON"
"VIBIF","VITAMIN B COMPLEX + IRON + FOLIC ACID"
"VINBL","VINBLASTINE"
"VINC1","VINCRISTINE (AS SULFATE)"
"VINCR","VINCRISTINE"
"VINOR","VINORELBINE (AS TARTATE)"
"VINSU","VINBLASTINE SULFATE"
"VIT16","VITAMIN B1 B6 B12"
"VITAA","VITAMIN A"
"VITAB","VITAMIN B COMPLEX + IRON + BUCLIZINE HYDROCHLORIDE"
"VITAC","VITAMIN C"
"VITAD","VITAMIN D - ALFACALCIDOL"
"VITAE","VITAMIN E"
"VITAF","VITAMINS IV - FAT SOLUBLE"
"VITAK","VITAMIN K1"
"VITAM","VITAMINS + MINERALS"
"VITAT","VITAMINS IV - TRACE ELEMENTS"
"VITAW","VITAMINS IV - WATER SOLUBLE"
"VITB1","VITAMIN B12"
"VITB2","VITAMIN B2"
"VITB3","VITAMIN B3"
"VITB4","VITAMIN B6"
"VITBA","VITAMIN B COMPLEX + ASCORBIC ACID"
"VITBC","VITAMIN B COMPLEX + C"
"VITBE","VITAMIN B COMPLEX + E"
"VITBF","VITAMIN B COMPLEX + FERROUS FUMARATE"
"VITBL","VITAMIN B-COMPLEX + LYSINE + IRON"
