"fhudname","phic_name","fhudcode","regcode","provcode","provname","citycode","cityname","facility_type_desc","pan"
"FRANCISCO HOMES NARRA HEALTH CENTER",,"DOH000000000034542","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"POBLACION I HEALTH CENTER",,"DOH000000000034543","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"POBLACION HEALTH CENTER",,"DOH000000000034544","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"SAPANG PALAY PROPER HEALTH CENTER",,"DOH000000000034545","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"FRANCISCO HOMES YAKAL HEALTH CENTER",,"DOH000000000034546","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"FRANCISCO HOMES MULAWIN HEALTH CENTER",,"DOH000000000034547","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"TUNGKONG MANGGA HEALTH CENTER",,"DOH000000000034548","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"SAN MANUEL HEALTH CENTER",,"DOH000000000034549","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"MAHARLIKA HEALTH CENTER",,"DOH000000000034550","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"GRACEVILLE HEALTH CENTER",,"DOH000000000034551","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"GAYA-GAYA HEALTH CENTER",,"DOH000000000034552","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"GUMAOC CENTRAL HEALTH CENTER",,"DOH000000000034553","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"GUMAOC WEST HEALTH CENTER",,"DOH000000000034554","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"STO. CRISTO HEALTH CENTER",,"DOH000000000034555","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"KAYBANBAN HEALTH CENTER",,"DOH000000000034556","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"SAN ROQUE HEALTH CENTER",,"DOH000000000034557","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"PARADISE HEALTH CENTER",,"DOH000000000034558","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"SAN ISIDRO HEALTH CENTER",,"DOH000000000034559","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"CIUDAD REAL HEALTH CENTER",,"DOH000000000034560","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"MINUYAN II HEALTH CENTER",,"DOH000000000034561","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"MINUYAN III HEALTH CENTER",,"DOH000000000034562","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"MINUYAN V HEALTH CENTER",,"DOH000000000034563","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"MINUYAN PROPER HEALTH CENTER",,"DOH000000000034564","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"CITRUS HEALTH CENTER",,"DOH000000000034565","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"STO. NINO I HEALTH CENTER",,"DOH000000000034566","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"STO. NINO II HEALTH CENTER",,"DOH000000000034567","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"LAWANG PARI HEALTH CENTER",,"DOH000000000034568","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"SAN MARTIN DE PORES HEALTH CENTER",,"DOH000000000034569","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"ASSUMPTION HEALTH CENTER",,"DOH000000000034570","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"MINUYAN IV HEALTH CENTER",,"DOH000000000034571","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"BAGONG BUHAY II HEALTH CENTER",,"DOH000000000034572","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"BAGONG BUHAY III HEALTH CENTER",,"DOH000000000034573","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"FATIMA I HEALTH CENTER",,"DOH000000000034574","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"FATIMA II HEALTH CENTER",,"DOH000000000034575","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"FATIMA III HEALTH CENTER",,"DOH000000000034576","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"FATIMA IV HEALTH CENTER",,"DOH000000000034577","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"FATIMA V HEALTH CENTER",,"DOH000000000034578","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"SAN PEDRO HEALTH CENTER",,"DOH000000000034579","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"BAGONG BUHAY I HEALTH CENTER",,"DOH000000000034580","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"SAN MARTIN I HEALTH CENTER",,"DOH000000000034581","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"SAN MARTIN II HEALTH CENTER",,"DOH000000000034582","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"SAN MARTIN III HEALTH CENTER",,"DOH000000000034583","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"SAN MARTIN IV HEALTH CENTER",,"DOH000000000034584","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"STA. CRUZ I HEALTH CENTER",,"DOH000000000034585","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"STA. CRUZ II HEALTH CENTER",,"DOH000000000034586","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"STA. CRUZ IV HEALTH CENTER",,"DOH000000000034587","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"STA. CRUZ V HEALTH CENTER",,"DOH000000000034588","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"SAN RAFAEL I HEALTH CENTER",,"DOH000000000034589","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"SAN RAFAEL II HEALTH CENTER",,"DOH000000000034590","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"SAN RAFAEL IV HEALTH CENTER",,"DOH000000000034591","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"STA.CRUZ III HEALTH CENTER",,"DOH000000000034592","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"MINUYAN I HEALTH CENTER",,"DOH000000000034593","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"SAN RAFAEL III HEALTH CENTER",,"DOH000000000034594","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"MUZON HEALTH CENTER",,"DOH000000000034595","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"SAN RAFAEL V HEALTH CENTER",,"DOH000000000034596","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BHS",
"PONONG BARANGAY HEALTH STATION",,"DOH000000000034609","05","0517","CAMARINES SUR","051720","MAGARAO","BHS",
"CANIOGAN ALTO BARANGAY HEALTH STATION",,"DOH000000000034610","02","0231","ISABELA","023136","SANTO TOMAS","BHS",
"ZAMORA BARANGAY HEALTH STATION",,"DOH000000000034612","07","0712","BOHOL","071243","TALIBON","BHS",
"NIPA BARANGAY HEALTH STATION",,"DOH000000000034619","05","0541","MASBATE","054115","PALANAS","BHS",
"BUENASUERTE BARANGAY HEALTH STATION",,"DOH000000000034620","05","0541","MASBATE","054115","PALANAS","BHS",
"ANTIPOLO BARANGAY HEALTH STATION",,"DOH000000000034621","05","0541","MASBATE","054115","PALANAS","BHS",
"BANCO BARANGAY HEALTH STATION",,"DOH000000000034622","05","0541","MASBATE","054115","PALANAS","BHS",
"BIGA-A BARANGAY HEALTH STATION",,"DOH000000000034623","05","0541","MASBATE","054115","PALANAS","BHS",
"BONTOD BARANGAY HEALTH STATION",,"DOH000000000034624","05","0541","MASBATE","054115","PALANAS","BHS",
"JOSE A. ABENIR SR. BARANGAY HEALTH STATION",,"DOH000000000034627","05","0541","MASBATE","054115","PALANAS","BHS",
"MAANAHAO BARANGAY HEALTH STATION",,"DOH000000000034628","05","0541","MASBATE","054115","PALANAS","BHS",
"MABINI BARANGAY HEALTH STATION",,"DOH000000000034629","05","0541","MASBATE","054115","PALANAS","BHS",
"MARAVILLA BARANGAY HEALTH STATION",,"DOH000000000034630","05","0541","MASBATE","054115","PALANAS","BHS",
"MATUGNAO BARANGAY HEALTH STATION",,"DOH000000000034631","05","0541","MASBATE","054115","PALANAS","BHS",
"PARINA BARANGAY HEALTH STATION",,"DOH000000000034632","05","0541","MASBATE","054115","PALANAS","BHS",
"PALANAS BIRTHING CLINIC",,"DOH000000000034633","05","0541","MASBATE","054115","PALANAS","BHS",
"SAN ANTONIO BARANGAY HEALTH STATION",,"DOH000000000034634","05","0541","MASBATE","054115","PALANAS","BHS",
"SAN CARLOS BARANGAY HEALTH STATION",,"DOH000000000034635","05","0541","MASBATE","054115","PALANAS","BHS",
"MALATAWAN BARANGAY HEALTH STATION",,"DOH000000000034637","05","0541","MASBATE","054115","PALANAS","BHS",
"AGUADA BARANGAY HEALTH STATION",,"DOH000000000034640","05","0541","MASBATE","054105","CATAINGAN","BHS",
"LIBTONG BARANGAY HEALTH STATION",,"DOH000000000034641","05","0541","MASBATE","054105","CATAINGAN","BHS",
"BAGUMBAYAN BARANGAY HEALTH STATION",,"DOH000000000034642","05","0541","MASBATE","054105","CATAINGAN","BHS",
"SAN PEDRO HEALTH STATION",,"DOH000000000034653","05","0541","MASBATE","054105","CATAINGAN","BHS",
"SAN JOSE DEL MONTE CITY HEALTH CENTER VI",,"DOH000000000034657","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","RHU",
"SAN RAMON BARANGAY HEALTH STATION",,"DOH000000000034658","05","0505","ALBAY","050503","DARAGA (LOCSIN)","BHS",
"SAN ROQUE BARANGAY HEALTH STATION",,"DOH000000000034659","05","0505","ALBAY","050505","JOVELLAR","BHS",
"MANGA BARANGAY HEALTH STATION",,"DOH000000000034660","03","0369","TARLAC","036904","CAPAS","BHS",
"ESTRADA BARANGAY HEALTH STATION",,"DOH000000000034661","03","0369","TARLAC","036904","CAPAS","BHS",
"TOWERVILLE BIRTHING STATION",,"DOH000000000034662","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BH",
"PABAHAY 2000 MUZON BIRTHING STATION",,"DOH000000000034663","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BH",
"LABRADOR BARANGAY HEALTH STATION",,"DOH000000000034664","05","0541","MASBATE","054109","ESPERANZA","BHS",
"TUNGA BARANGAY HEALTH STATION",,"DOH000000000034665","05","0541","MASBATE","054109","ESPERANZA","BHS",
"BARAS BARANGAY HEALTH STATION",,"DOH000000000034666","05","0541","MASBATE","054109","ESPERANZA","BHS",
"GRACEVILLE BIRTHING STATION",,"DOH000000000034667","03","0314","BULACAN","031420","CITY OF SAN JOSE DEL MONTE","BH",
"SANTIAGO BARANGAY HEALTH STATION",,"DOH000000000034668","05","0541","MASBATE","054109","ESPERANZA","BHS",
"SANTA LUCIA BARANGAY HEALTH STATION",,"DOH000000000034685","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"SAN JOSE BARANGAY HEALTH STATION",,"DOH000000000034689","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"CARICARAN BARANGAY HEALTH STATION",,"DOH000000000034694","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"GATBO BARANGAY HEALTH STATION",,"DOH000000000034695","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"BATO BARANGAY HEALTH STATION",,"DOH000000000034696","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"BOGNA BARANGAY HEALTH STATION",,"DOH000000000034697","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"CABARBUHAN BARANGAY HEALTH STATION",,"DOH000000000034699","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"RAWIS BARANGAY HEALTH STATION",,"DOH000000000034702","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"TUBURAN BARANGAY HEALTH STATION",,"DOH000000000034704","05","0505","ALBAY","050508","CITY OF LIGAO","BHS",
"SAN VICENTE BARANGAY HEALTH STATION",,"DOH000000000034705","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"BONGA BARANGAY HEALTH STATION",,"DOH000000000034706","05","0505","ALBAY","050508","CITY OF LIGAO","BHS",
"SAN RAMON BARANGAY HEALTH STATION",,"DOH000000000034708","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"SUGOD BARANGAY HEALTH STATION",,"DOH000000000034711","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"DEL ROSARIO BARANGAY HEALTH STATION",,"DOH000000000034712","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"JAMISLAGAN BARANGAY HEALTH STATION",,"DOH000000000034713","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"SANTA CRUZ BARANGAY HEALTH STATION",,"DOH000000000034717","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"SANTO DOMINGO BARANGAY HEALTH STATION",,"DOH000000000034719","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"SAWANGA BARANGAY HEALTH STATION",,"DOH000000000034721","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"SAN JUAN BARANGAY HEALTH STATION",,"DOH000000000034723","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"SALVACION BARANGAY HEALTH STATION",,"DOH000000000034726","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"BON-OT BARANGAY HEALTH STATION",,"DOH000000000034730","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"HOUSING PROJECT BARANGAY HEALTH STATION",,"DOH000000000034732","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"TUGOS BARANGAY HEALTH STATION",,"DOH000000000034734","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"BUENAVISTA BARANGAY HEALTH STATION",,"DOH000000000034736","05","0562","SORSOGON","056216","CITY OF SORSOGON (Capital)","BHS",
"MOJON-TAMPOY BARANGAY HEALTH STATION",,"DOH000000000034737","04","0410","BATANGAS","041022","SAN JOSE","BHS",
"MATUBINAO BARANGAY HEALTH STATION",,"DOH000000000034739","05","0541","MASBATE","054105","CATAINGAN","BHS",
"STA. MONICA",,"DOH000000000034742","03","0349","NUEVA ECIJA","034923","RIZAL","BHS",
"VILLA PARAISO",,"DOH000000000034743","03","0349","NUEVA ECIJA","034923","RIZAL","BHS",
"CABUCBUCAN",,"DOH000000000034745","03","0349","NUEVA ECIJA","034923","RIZAL","BHS",
"AGOHO BARANGAY HEALTH STATION",,"DOH000000000034746","05","0541","MASBATE","054109","ESPERANZA","BHS",
"SANTO DOMINGO MAIN HEALTH CENTER",,"DOH000000000034747","05","0505","ALBAY","050516","SANTO DOMINGO (LIBOG)","BHS",
"SAN PASCUAL BIRTHING FACILITY",,"DOH000000000034757","05","0541","MASBATE","054120","SAN PASCUAL","BH",
"TIGBI BARANGAY HEALTH STATION",,"DOH000000000034758","05","0505","ALBAY","050518","TIWI","BHS",
"POBLACION BARANGAY HEALTH STATION",,"DOH000000000034761","05","0517","CAMARINES SUR","051720","MAGARAO","BHS",
"CAGBUNGA BARANGAY HEALTH STATION",,"DOH000000000034777","05","0517","CAMARINES SUR","051713","GAINZA","BHS",
"MALBONG BARANGAY HEALTH STATION",,"DOH000000000034778","05","0517","CAMARINES SUR","051713","GAINZA","BHS",
"BUGTONG BARANGAY HEALTH STATION",,"DOH000000000034779","05","0541","MASBATE","054116","PIO V. CORPUZ (LIMBUHAN)","BHS",
"CALONGONGAN BARANGAY HEALTH STATION",,"DOH000000000034780","05","0541","MASBATE","054116","PIO V. CORPUZ (LIMBUHAN)","BHS",
"LABIGAN BARANGAY HEALTH STATION",,"DOH000000000034781","05","0541","MASBATE","054116","PIO V. CORPUZ (LIMBUHAN)","BHS",
"LAMPUYANG BARANGAY HEALTH STATION",,"DOH000000000034782","05","0541","MASBATE","054116","PIO V. CORPUZ (LIMBUHAN)","BHS",
"MABUHAY BARANGAY HEALTH STATION",,"DOH000000000034783","05","0541","MASBATE","054116","PIO V. CORPUZ (LIMBUHAN)","BHS",
"TUBIGAN BARANGAY HEALTH STATION",,"DOH000000000034784","05","0541","MASBATE","054116","PIO V. CORPUZ (LIMBUHAN)","BHS",
"TUBOG BARANGAY HEALTH STATION",,"DOH000000000034785","05","0541","MASBATE","054116","PIO V. CORPUZ (LIMBUHAN)","BHS",
"POBLACION 2 BARANGAY HEALTH STATION",,"DOH000000000034794","05","0541","MASBATE","054113","MOBO","BHS",
"MAPUYO BARANGAY HEALTH STATION",,"DOH000000000034795","05","0541","MASBATE","054113","MOBO","BHS",
"TUGAWE BARANGAY HEALTH STATION",,"DOH000000000034796","05","0541","MASBATE","054113","MOBO","BHS",
"HOLJOGON BARANGAY HEALTH STATION",,"DOH000000000034797","05","0541","MASBATE","054113","MOBO","BHS",
"MABUHAY BARANGAY HEALTH STATION",,"DOH000000000034798","05","0541","MASBATE","054113","MOBO","BHS",
"TUGBO BARANGAY HEALTH STATION",,"DOH000000000034799","05","0541","MASBATE","054113","MOBO","BHS",
"GUINTORELAN BARANGAY HEALTH STATION",,"DOH000000000034800","05","0541","MASBATE","054113","MOBO","BHS",
"PINAMARBUHAN BARANGAY HEALTH STATION",,"DOH000000000034801","05","0541","MASBATE","054113","MOBO","BHS",
"MANDALI BARANGAY HEALTH STATION",,"DOH000000000034802","05","0541","MASBATE","054113","MOBO","BHS",
"SAMBULAWAN BARANGAY HEALTH STATION",,"DOH000000000034803","05","0541","MASBATE","054113","MOBO","BHS",
"DACU BARANGAY HEALTH STATION",,"DOH000000000034804","05","0541","MASBATE","054113","MOBO","BHS",
"BAGACAY BARANGAY HEALTH STATION",,"DOH000000000034810","05","0541","MASBATE","054113","MOBO","BHS",
"UMABAY EXTERIOR BARANGAY HEALTH STATION",,"DOH000000000034811","05","0541","MASBATE","054113","MOBO","BHS",
"TABUC BARANGAY HEALTH STATION",,"DOH000000000034812","05","0541","MASBATE","054113","MOBO","BHS",
"BALATUCAN BARANGAY HEALTH STATION",,"DOH000000000034813","05","0541","MASBATE","054113","MOBO","BHS",
"POBLACION 1 BARANGAY HEALTH STATION",,"DOH000000000034814","05","0541","MASBATE","054113","MOBO","BHS",
"POLOT BARANGAY HEALTH STATION",,"DOH000000000034815","05","0541","MASBATE","054113","MOBO","BHS",
"JINTOTOLO BARANGAY HEALTH STATION",,"DOH000000000034816","05","0541","MASBATE","054103","BALUD","BHS",
"NAMUAT BARANGAY HEALTH STATION",,"DOH000000000034832","05","0517","CAMARINES SUR","051713","GAINZA","BHS",
"POBLACION II (2ND DISTRICT) BARANGAY HEALTH STATION",,"DOH000000000034834","05","0517","CAMARINES SUR","051713","GAINZA","BHS",
"SAMPALOC BARANGAY HEALTH STATION",,"DOH000000000034835","05","0517","CAMARINES SUR","051713","GAINZA","BHS",
"HALUBAN BARANGAY HEALTH STATION",,"DOH000000000034836","05","0517","CAMARINES SUR","051719","LUPI","BHS",
"BARRERA SR BARANGAY HEALTH STATION",,"DOH000000000034837","05","0517","CAMARINES SUR","051719","LUPI","BHS",
"BALAWING BARANGAY HEALTH STATION",,"DOH000000000034838","05","0541","MASBATE","054101","AROROY","BHS",
"BANGON BARANGAY HEALTH STATION",,"DOH000000000034839","05","0541","MASBATE","054101","AROROY","BHS",
"CALANAY BARANGAY HEALTH STATION",,"DOH000000000034841","05","0541","MASBATE","054101","AROROY","BHS",
"JABOYOAN BARANGAY HEALTH STATION",,"DOH000000000034843","05","0541","MASBATE","054101","AROROY","BHS",
"MARIPOSA BARANGAY HEALTH STATION",,"DOH000000000034844","05","0541","MASBATE","054101","AROROY","BHS",
"MATONGOG BARANGAY HEALTH STATION",,"DOH000000000034845","05","0541","MASBATE","054101","AROROY","BHS",
"PANGLE BARANGAY HEALTH STATION",,"DOH000000000034846","05","0541","MASBATE","054101","AROROY","BHS",
"TALIB BARANGAY HEALTH STATION",,"DOH000000000034847","05","0541","MASBATE","054101","AROROY","BHS",
"TINAGO BARANGAY HEALTH STATION",,"DOH000000000034848","05","0541","MASBATE","054101","AROROY","BHS",
"PINANAAN BARANGAY HEALTH STATION",,"DOH000000000034849","05","0541","MASBATE","054101","AROROY","BHS",
"PINAMASINGAN BARANGAY HEALTH STATION",,"DOH000000000034851","05","0541","MASBATE","054120","SAN PASCUAL","BHS",
"BAGONG SIKAT BARANGAY HEALTH CENTER",,"DOH000000000034852","05","0517","CAMARINES SUR","051719","LUPI","BHS",
"BUSING BARANGAY HEALTH STATION",,"DOH000000000034853","05","0541","MASBATE","054120","SAN PASCUAL","BHS",
"MAGSALANGI BARANGAY HEALTH STATION",,"DOH000000000034854","05","0541","MASBATE","054112","MILAGROS","BHS",
"MATIPORON BARANGAY HEALTH STATION",,"DOH000000000034855","05","0541","MASBATE","054112","MILAGROS","BHS",
"BANGON BARANGAY HEALTH STATION",,"DOH000000000034856","05","0517","CAMARINES SUR","051719","LUPI","BHS",
"POBLACION EAST BARANGAY HEALTH STATION",,"DOH000000000034857","05","0541","MASBATE","054112","MILAGROS","BHS",
"NONOC BARANGAY HEALTH STATION",,"DOH000000000034858","05","0541","MASBATE","054107","CLAVERIA","BHS",
"CALUMPANG BARANGAY HEALTH STATION",,"DOH000000000034859","05","0541","MASBATE","054112","MILAGROS","BHS",
"CANOMAY BARANGAY HEALTH STATION",,"DOH000000000034860","05","0541","MASBATE","054107","CLAVERIA","BHS",
"POBLACION II BARANGAY HEALTH STATION",,"DOH000000000034861","05","0541","MASBATE","054107","CLAVERIA","BHS",
"CALPI BARANGAY HEALTH STATION",,"DOH000000000034862","05","0541","MASBATE","054107","CLAVERIA","BHS",
"PASIG BARANGAY HEALTH STATION",,"DOH000000000034863","05","0541","MASBATE","054107","CLAVERIA","BHS",
"POBLACION I BARANGAY HEALTH STATION",,"DOH000000000034866","05","0541","MASBATE","054107","CLAVERIA","BHS",
"TAGUILID BARANGAY HEALTH STATION",,"DOH000000000034867","05","0541","MASBATE","054107","CLAVERIA","BHS",
"SAN ISIDRO BARANGAY HEALTH STATION",,"DOH000000000034868","05","0541","MASBATE","054107","CLAVERIA","BHS",
"SAN VICENTE BARANGAY HEALTH STATION",,"DOH000000000034869","05","0541","MASBATE","054107","CLAVERIA","BHS",
"MARCELLA BARANGAY HEALTH STATION",,"DOH000000000034870","05","0541","MASBATE","054121","USON","BHS",
"MAGSAYSAY BARANGAY HEALTH STATION",,"DOH000000000034871","05","0541","MASBATE","054121","USON","BHS",
"CANJUNDAY BARANGAY HEALTH CENTER",,"DOH000000000034872","05","0541","MASBATE","054102","BALENO","BHS",
"SOG-ONG BARANGAY HEALTH CENTER",,"DOH000000000034873","05","0541","MASBATE","054102","BALENO","BHS",
"LAHONG INTERIOR BARANGAY HEALTH STATION",,"DOH000000000034875","05","0541","MASBATE","054102","BALENO","BHS",
"CADULAN BARANGAY HEALTH STATION",,"DOH000000000034876","05","0541","MASBATE","054108","DIMASALANG","BHS",
"BURACAN BARANGAY HEALTH STATION",,"DOH000000000034877","05","0541","MASBATE","054108","DIMASALANG","BHS",
"SAN ISIDRO BARANGAY HEALTH CENTER",,"DOH000000000034878","05","0517","CAMARINES SUR","051719","LUPI","BHS",
"TIBLE BARANGAY HEALTH STATION",,"DOH000000000034879","05","0517","CAMARINES SUR","051719","LUPI","BHS",
"CRISTO REY BARANGAY HEALTH CENTER",,"DOH000000000034882","05","0517","CAMARINES SUR","051719","LUPI","BHS",
"CAGARA BARANGAY HEALTH STATION",,"DOH000000000034883","05","0541","MASBATE","054102","BALENO","BHS",
"BANAHAO BARANGAY HEALTH STATION",,"DOH000000000034885","05","0541","MASBATE","054108","DIMASALANG","BHS",
"T.R. YANGCO BARANGAY HEALTH STATION",,"DOH000000000034887","05","0541","MASBATE","054108","DIMASALANG","BHS",
"RIZAL BARANGAY HEALTH STATION",,"DOH000000000034889","05","0541","MASBATE","054108","DIMASALANG","BHS",
"BATUILA BARANGAY HEALTH STATION",,"DOH000000000034890","05","0541","MASBATE","054102","BALENO","BHS",
"BANASE BARANGAY HEALTH STATION",,"DOH000000000034892","05","0541","MASBATE","054102","BALENO","BHS",
"DEL CARMEN BARANGAY HEALTH STATION",,"DOH000000000034894","05","0517","CAMARINES SUR","051719","LUPI","BHS",
"LA PURISIMA BARANGAY HEALTH STATION",,"DOH000000000034896","05","0517","CAMARINES SUR","051719","LUPI","BHS",
"NAPOLIDAN BARANGAY HEALTH STATION",,"DOH000000000034897","05","0517","CAMARINES SUR","051719","LUPI","BHS",
"DOCOL BARANGAY HEALTH STATION",,"DOH000000000034898","05","0541","MASBATE","054102","BALENO","BHS",
"POLANTUNA BARANGAY HEALTH STATION",,"DOH000000000034899","05","0517","CAMARINES SUR","051719","LUPI","BHS",
"SAN RAFAEL SUR BARANGAY HEALTH STATION",,"DOH000000000034900","05","0517","CAMARINES SUR","051719","LUPI","BHS",
"MOROCBOROCAN BARANGAY HEALTH STATION",,"DOH000000000034901","05","0541","MASBATE","054121","USON","BHS",
"SAN VICENTE BARANGAY HEALTH STATION",,"DOH000000000034902","05","0541","MASBATE","054121","USON","BHS",
"POTOSON BARANGAY HEALTH STATION",,"DOH000000000034903","05","0541","MASBATE","054102","BALENO","BHS",
"AURORA BARANGAY HEALTH STATION",,"DOH000000000034904","05","0541","MASBATE","054121","USON","BHS",
"TINAPIAN BARANGAY HEALTH STATION",,"DOH000000000034905","05","0541","MASBATE","054102","BALENO","BHS",
"ARADO BARANGAY HEALTH STATION",,"DOH000000000034908","05","0541","MASBATE","054121","USON","BHS",
"CAGPANDAN BARANGAY HEALTH STATION",,"DOH000000000034911","05","0541","MASBATE","054102","BALENO","BHS",
"BAAO BARANGAY HEALTH STATION",,"DOH000000000034919","05","0541","MASBATE","054102","BALENO","BHS",
"MADANGCALAN BARANGAY HEALTH STATION",,"DOH000000000034920","05","0541","MASBATE","054102","BALENO","BHS",
"POLOT BARANGAY HEALTH STATION",,"DOH000000000034921","05","0541","MASBATE","054102","BALENO","BHS",
"OBONGAN DIOT BARANGAY HEALTH STATION",,"DOH000000000034922","05","0541","MASBATE","054102","BALENO","BHS",
"TALABAAN BARANGAY HEALTH STATION",,"DOH000000000034924","05","0541","MASBATE","054101","AROROY","BHS",
"BUENASUERTE BARANGAY HEALTH STATION",,"DOH000000000034925","05","0517","CAMARINES SUR","051719","LUPI","BHS",
